피험자,시선깊이(cm),DPI거리(p1-p4),동공크기
11, 15cm1, 41.8808, 69
11, 15cm2, 41.0488, 69
11, 15cm3, 40.8044, 70
11, 15cm4, 40.8044, 69
11, 15cm5, 40.2244, 70
11, 20cm1, 45.4533, 86
11, 20cm2, 44.8219, 87
11, 20cm3, 45.4533, 86
11, 20cm4, 44.8219, 86
11, 20cm5, 45.4533, 85
11, 25cm1, 48.1664, 84
11, 25cm2, 47.5079, 84
11, 25cm3, 47.5079, 83
11, 25cm4, 47.5079, 83
11, 25cm5, 46.7547, 83
11, 30cm1, 48.7955, 91
11, 30cm2, 49.4975, 90
11, 30cm3, 49.4975, 90
11, 30cm4, 49.4975, 92
11, 30cm5, 48.7955, 91
11, 35cm1, 52.345, 94
11, 35cm2, 53.0377, 93
11, 35cm3, 53.0377, 93
11, 35cm4, 52.345, 94
11, 35cm5, 52.3259, 94
11, 40cm1, 55.3173, 89
11, 40cm2, 54.5619, 94
11, 40cm3, 55.3173, 91
11, 40cm4, 54.5619, 90
11, 40cm5, 55.3173, 90
11, 45cm1, 52.8015, 92
11, 45cm2, 53.4135, 91
11, 45cm3, 54.2033, 90
11, 45cm4, 53.4135, 89
11, 45cm5, 54.2033, 90
11, 50cm1, 54.6717, 91
11, 50cm2, 54.6717, 91
11, 50cm3, 54.037, 91
11, 50cm4, 54.037, 91
11, 50cm5, 54.037, 90
11, 55cm1, 54.2033, 92
11, 55cm2, 54.2033, 90
11, 55cm3, 54.2033, 90
11, 55cm4, 54.037, 90
11, 55cm5, 54.8179, 90
11, 60cm1, 54.037, 92
11, 60cm2, 53.4135, 93
11, 60cm3, 53.4135, 93
11, 60cm4, 52.6308, 92
11, 60cm5, 53.2635, 92
