피험자,시선깊이(cm),DPI거리(p1-p4),동공크기
2, 15cm1, 56.8595, 87
2, 15cm2, 56.8595, 87
2, 15cm3, 55.5428, 87
2, 15cm4, 57.3847, 87
2, 15cm5, 56.4624, 87
2, 20cm1, 61.0328, 98
2, 20cm2, 61.0328, 99
2, 20cm3, 61.9839, 99
2, 20cm4, 60.7289, 99
2, 20cm5, 61.3514, 99
2, 25cm1, 65.7875, 102
2, 25cm2, 65.4599, 102
2, 25cm3, 65.7875, 102
2, 25cm4, 64.846, 102
2, 25cm5, 64.846, 102
2, 30cm1, 68.3081, 106
2, 30cm2, 68.6222, 106
2, 30cm3, 69.9214, 106
2, 30cm4, 69.2604, 107
2, 30cm5, 70.214, 106
2, 35cm1, 68.6804, 104
2, 35cm2, 69.6419, 104
2, 35cm3, 69.6419, 104
2, 35cm4, 67.72, 104
2, 35cm5, 68.6804, 104
2, 40cm1, 72.2772, 104
2, 40cm2, 72.5328, 103
2, 40cm3, 72.5328, 104
2, 40cm4, 72.5328, 104
2, 40cm5, 71.5681, 104
2, 45cm1, 71.8053, 104
2, 45cm2, 71.8053, 104
2, 45cm3, 72.2772, 105
2, 45cm4, 72.0347, 105
2, 45cm5, 72.0347, 104
2, 50cm1, 75.1864, 110
2, 50cm2, 74.2159, 110
2, 50cm3, 74.4648, 110
2, 50cm4, 75.4321, 110
2, 50cm5, 74.2159, 110
2, 55cm1, 76.922, 109
2, 55cm2, 75.8947, 109
2, 55cm3, 75.2861, 108
2, 55cm4, 77.201, 109
2, 55cm5, 77.201, 109
2, 60cm1, 73.0069, 108
2, 60cm2, 72.7805, 109
2, 60cm3, 73.9797, 109
2, 60cm4, 74.2159, 109
2, 60cm5, 73.9797, 110
