피험자,시선깊이(cm),DPI거리(p1-p4),동공크기
10, 15cm1, 45.4863, 74
10, 15cm2, 44.6542, 76
10, 15cm3, 46.0435, 77
10, 15cm4, 46.0435, 77
10, 15cm5, 45.4863, 77
10, 20cm1, 49.7393, 81
10, 20cm2, 50.2494, 81
10, 20cm3, 50.6063, 83
10, 20cm4, 50.2494, 85
10, 20cm5, 50.2494, 85
10, 25cm1, 51.9711, 83
10, 25cm2, 50.6063, 83
10, 25cm3, 50.6063, 83
10, 25cm4, 50.6063, 84
10, 25cm5, 51.9711, 85
10, 30cm1, 51, 89
10, 30cm2, 50.1199, 88
10, 30cm3, 51, 89
10, 30cm4, 50.6063, 89
10, 30cm5, 51.4782, 88
10, 35cm1, 51.4782, 89
10, 35cm2, 51.4782, 90
10, 35cm3, 51, 89
10, 35cm4, 51.8845, 89
10, 35cm5, 52.3546, 90
10, 40cm1, 51.4782, 89
10, 40cm2, 51.9711, 89
10, 40cm3, 50.6063, 89
10, 40cm4, 52.3546, 89
10, 40cm5, 51.9711, 89
10, 45cm1, 51.4782, 91
10, 45cm2, 51.4782, 91
10, 45cm3, 52.3546, 91
10, 45cm4, 52.3546, 91
10, 45cm5, 52.3546, 91
10, 50cm1, 53.2259, 91
10, 50cm2, 53.6656, 92
10, 50cm3, 53.6656, 92
10, 50cm4, 53.6656, 92
10, 50cm5, 52.7731, 92
10, 55cm1, 50.0899, 87
10, 55cm2, 51.8845, 90
10, 55cm3, 51.4296, 89
10, 55cm4, 51.4296, 90
10, 55cm5, 49.1935, 90
10, 60cm1, 55.0091, 92
10, 60cm2, 54.1202, 92
10, 60cm3, 55.4707, 93
10, 60cm4, 54.5894, 92
10, 60cm5, 54.5894, 93
