피험자,시선깊이(cm),DPI거리(p1-p4),동공크기
5, 15cm1, 40.3113, 81
5, 15cm2, 40.3113, 80
5, 15cm3, 41.1825, 80
5, 15cm4, 40.3113, 80
5, 15cm5, 39.8246, 80
5, 20cm1, 41.1461, 84
5, 20cm2, 41.1461, 84
5, 20cm3, 42.0476, 85
5, 20cm4, 41.6293, 85
5, 20cm5, 40.7185, 85
5, 25cm1, 41.2311, 89
5, 25cm2, 40.8534, 89
5, 25cm3, 41.2311, 89
5, 25cm4, 40.8534, 89
5, 25cm5, 41.2311, 87
5, 30cm1, 42.72, 88
5, 30cm2, 43.6578, 88
5, 30cm3, 41.7852, 89
5, 30cm4, 42.72, 89
5, 30cm5, 42.72, 89
5, 35cm1, 43.6578, 88
5, 35cm2, 43.3244, 88
5, 35cm3, 42.3792, 88
5, 35cm4, 42.3792, 88
5, 35cm5, 43.3244, 88
5, 40cm1, 44.2719, 89
5, 40cm2, 43.3244, 89
5, 40cm3, 44.2719, 89
5, 40cm4, 43.6578, 89
5, 40cm5, 45.2217, 90
5, 45cm1, 44.643, 88
5, 45cm2, 45.607, 88
5, 45cm3, 44.9222, 88
5, 45cm4, 45.8803, 88
5, 45cm5, 45.607, 88
5, 50cm1, 46.1736, 87
5, 50cm2, 45.8803, 88
5, 50cm3, 45.8803, 87
5, 50cm4, 46.1736, 86
5, 50cm5, 46.1736, 86
5, 55cm1, 46.8402, 88
5, 55cm2, 45.8803, 87
5, 55cm3, 45.8803, 87
5, 55cm4, 45.8803, 87
5, 55cm5, 45.8803, 88
5, 60cm1, 46.8402, 89
5, 60cm2, 47.8017, 89
5, 60cm3, 47.8017, 89
5, 60cm4, 46.8402, 89
5, 60cm5, 46.8402, 88
